Stem,Ingredient,Confidence,Tier,Source,Reasoning
K1K2A1,Galbanum,99,1,v1_solver + cross-validation,Unique intersection across 4 diverse recipes; only resin that fits all
K1A3,Crocus,95,1,elimination_logic,"K1A3 absent from f93v/Diascordium which HAS Cinnamomum; eliminates v3 Cinnamomum candidate. Crocus fits: present in Pillulae Aureae, Trifera, Philonium but NOT Diascordium"
A1Q2A1,Myrrha,92,2,v3_UNIQUE,UNIQUE candidate across 4 recipes incl. Ung.Apostolorum. Myrrha only ingredient in ALL 4 and ABSENT from all 8 absent recipes.
D1A1,Myrrha,90,2,v3_UNIQUE,UNIQUE across Aurea Alex + Trifera + Ung.Apostolorum. Same Myrrha profile as A1Q2A1. Possible: D1A1 is morphological variant of same Myrrha word.
D1A1A3,Myrrha,90,2,v3_UNIQUE,Same presence/absence profile as D1A1 and A1Q2A1. Suffix variant.
Q1K1A1,Myrrha,88,2,v3_UNIQUE,Present in Aurea Alex + Ung.Apostolorum only. Myrrha is the only ingredient in both that is absent from all 8 negative recipes.
A1Q1J1,Myrrha,88,2,v3_UNIQUE,Present in Phil.Persicum + Trifera + Ung.Apostolorum. Myrrha unique fit.
T1J1A1B1A3,Myrrha,85,2,v3_UNIQUE,Only appears in Philonium + Unguentum Apostolorum. Myrrha is the only shared ingredient absent from all 8 negatives.
B1K1A1,Rosa,82,3,v3_STRONG,"Present in Confectio Hamech + Diascordium only. Rosa scores 0.882 (top), next is Zingiber 0.726. Rosa is in both recipes."
A1C1A3,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
A1B2K1J1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
A2Q2J1A1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
T1J1A1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
B1L1J1A1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.784 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
C2A1C2A3,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.784 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
K1J1U1J1,Crocus,80,3,v3_STRONG,STRONG: 2 candidates (Crocus vs Cinnamomum). Crocus scores 0.763 vs Cinnamomum ~0.607. Crocus is the discriminative choice.
